City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Svetlogorsk,BY,2022-06-13 22:07:56,52.6333,29.7333,59.09,75,75,7.85
190,Diffa,NE,2022-06-13 22:07:56,13.3154,12.6113,91.35,36,87,9.57
191,Shestakovo,RU,2022-06-13 22:07:57,56.4915,103.96,60.19,87,28,0.98
192,Vila Franca Do Campo,PT,2022-06-13 22:04:28,37.7167,-25.4333,64.2,86,12,9.42
193,Palana,RU,2022-06-13 22:07:57,59.1167,159.9667,40.5,85,99,3.51
194,Skhisma,GR,2022-06-13 22:07:58,35.2667,25.7167,75.09,76,1,14.18
195,Cozumel,MX,2022-06-13 22:07:16,20.5083,-86.9458,80.94,86,100,7.0
196,Luwuk,ID,2022-06-13 22:07:58,-0.9516,122.7875,76.1,85,15,3.89
197,Chihuahua,MX,2022-06-13 22:06:12,28.5,-106.0,95.83,14,6,12.71
198,Juba,SS,2022-06-13 22:07:58,4.8517,31.5825,74.14,69,41,1.81
199,Saskylakh,RU,2022-06-13 22:07:59,71.9167,114.0833,64.26,41,100,1.72
200,Siguiri,GN,2022-06-13 22:07:59,11.6667,-9.5,81.03,59,29,4.36
201,Stokmarknes,NO,2022-06-13 22:08:00,68.5646,14.9108,49.98,93,75,0.0
202,Vangaindrano,MG,2022-06-13 22:08:00,-23.35,47.6,66.07,74,54,0.2
203,Mlonggo,ID,2022-06-13 22:08:00,-6.5333,110.7,77.88,85,100,5.39
204,Petropavlovsk-Kamchatskiy,RU,2022-06-13 22:08:01,53.0452,158.6483,52.39,66,75,2.24
205,Griffith,US,2022-06-13 22:08:01,41.5284,-87.4237,93.15,62,40,12.66
206,Lingao,CN,2022-06-13 22:08:02,19.9103,109.6859,80.91,83,99,5.17
207,Sao Borja,BR,2022-06-13 22:05:17,-28.6606,-56.0044,49.95,85,0,5.86
208,Mulanje,MW,2022-06-13 22:08:02,-16.0316,35.5,59.95,90,37,3.53
209,Kitimat,CA,2022-06-13 22:08:02,54.0524,-128.6534,59.92,64,91,1.01
210,Yarensk,RU,2022-06-13 22:08:03,62.1675,49.0916,53.13,71,100,4.32
211,Nortelandia,BR,2022-06-13 22:08:03,-14.4547,-56.8028,65.17,50,68,3.0
212,Dubbo,AU,2022-06-13 22:08:03,-32.25,148.6167,33.93,88,40,4.61
213,Gogrial,SS,2022-06-13 22:08:04,8.5332,28.1004,77.81,74,35,1.72
214,Diego De Almagro,CL,2022-06-13 22:04:03,-26.3667,-70.05,60.91,42,46,6.04
215,Abha,SA,2022-06-13 22:08:04,18.2164,42.5053,70.05,46,0,0.0
216,Pangnirtung,CA,2022-06-13 22:08:05,66.1451,-65.7125,34.45,89,90,2.1
217,Delcevo,MK,2022-06-13 22:08:05,41.9672,22.7694,58.55,89,9,3.98
218,Yerbogachen,RU,2022-06-13 22:08:05,61.2767,108.0108,56.77,62,30,2.59
219,Latung,PH,2022-06-13 22:08:06,5.5,120.8833,83.07,69,100,5.41
220,Emba,KZ,2022-06-13 22:08:06,48.8264,58.1442,54.32,79,0,7.14
221,Sinnamary,GF,2022-06-13 22:08:06,5.3833,-52.95,78.15,83,90,6.4
222,Tasiilaq,GL,2022-06-13 22:08:07,65.6145,-37.6368,37.56,95,100,11.14
223,Krasnovishersk,RU,2022-06-13 22:08:07,60.4078,57.082,45.3,71,2,1.95
224,Pio Ix,BR,2022-06-13 22:08:08,-6.8375,-40.5792,76.77,59,52,5.55
225,Kotka,FI,2022-06-13 22:08:08,60.4664,26.9458,54.66,92,28,11.27
226,Viedma,AR,2022-06-13 22:08:08,-40.8135,-62.9967,56.05,48,100,11.3
227,Saint-Paul,RE,2022-06-13 22:08:09,-21.0096,55.2707,72.36,70,88,8.95
228,Hangu,CN,2022-06-13 22:08:09,39.2489,117.7892,64.44,90,77,7.2
229,Natal,BR,2022-06-13 22:08:09,-5.795,-35.2094,76.19,80,4,8.01
230,Bilibino,RU,2022-06-13 22:09:10,68.0546,166.4372,59.7,27,26,2.82
231,Santona,ES,2022-06-13 22:09:10,43.4439,-3.4576,69.6,94,37,5.82
232,Iqaluit,CA,2022-06-13 22:09:10,63.7506,-68.5145,40.69,75,96,4.0
233,Moose Factory,CA,2022-06-13 22:09:11,51.2585,-80.6094,69.93,47,0,7.85
234,Port Lincoln,AU,2022-06-13 22:05:07,-34.7333,135.8667,56.66,59,70,23.98
235,Mizan Teferi,ET,2022-06-13 22:09:11,6.9833,35.5833,59.61,97,91,3.31
236,Deputatskiy,RU,2022-06-13 22:09:12,69.3,139.9,55.02,51,94,4.59
237,Pinotepa Nacional,MX,2022-06-13 22:09:12,16.3167,-98.0167,74.86,92,100,2.55
238,Pangoa,PE,2022-06-13 22:09:12,-12.1167,-73.0,70.16,77,68,2.24
239,Chulman,RU,2022-06-13 22:09:13,56.8479,124.9104,55.04,71,69,4.9
240,Pierre,US,2022-06-13 22:09:13,44.3683,-100.351,85.12,66,40,5.01
241,Zhuanghe,CN,2022-06-13 22:09:13,39.7008,122.9911,62.82,87,99,16.33
242,Paamiut,GL,2022-06-13 22:05:40,61.994,-49.6678,36.18,85,14,33.73
243,Nishihara,JP,2022-06-13 22:09:14,26.1842,127.7558,80.65,100,75,18.41
244,Angoram,PG,2022-06-13 22:09:14,-4.0625,144.0661,76.23,87,37,3.18
245,Kijang,KR,2022-06-13 22:07:43,35.2442,129.2139,63.61,90,100,22.53
246,Maniitsoq,GL,2022-06-13 22:09:15,65.4167,-52.9,36.48,74,11,18.72
247,Kloulklubed,PW,2022-06-13 22:09:15,7.0419,134.2556,77.5,73,81,13.29
248,Ostrovnoy,RU,2022-06-13 22:09:15,68.0531,39.5131,44.29,96,100,4.23
249,Washington,US,2022-06-13 22:08:17,47.5001,-120.5015,63.48,37,100,14.05
250,Nikolskoye,RU,2022-06-13 22:09:16,59.7035,30.7861,53.78,97,37,3.33
251,Mount Gambier,AU,2022-06-13 22:04:20,-37.8333,140.7667,46.42,76,100,9.78
252,Wilmington,US,2022-06-13 22:09:16,34.2257,-77.9447,89.51,69,0,10.36
253,Owando,CG,2022-06-13 22:09:17,-0.4819,15.8999,74.93,83,100,2.91
254,Poum,NC,2022-06-13 22:09:17,-20.2333,164.0167,73.94,91,100,10.36
255,Port Shepstone,ZA,2022-06-13 22:09:18,-30.7414,30.455,66.36,46,100,6.29
256,Uyuni,BO,2022-06-13 22:09:18,-20.4597,-66.825,37.31,16,0,6.82
257,Bom Jardim,BR,2022-06-13 22:09:18,-7.7958,-35.5872,69.06,95,8,4.03
258,Ilulissat,GL,2022-06-13 22:09:19,69.2167,-51.1,35.62,75,75,10.36
259,Lagos,NG,2022-06-13 22:09:03,6.5833,3.75,78.04,86,80,5.97
260,Aklavik,CA,2022-06-13 22:09:19,68.2191,-135.0107,57.22,42,89,9.66
261,Makakilo City,US,2022-06-13 22:09:19,21.3469,-158.0858,82.72,56,20,26.46
262,Santiago Del Estero,AR,2022-06-13 22:09:20,-27.7951,-64.2615,64.78,14,0,12.37
263,Taldan,RU,2022-06-13 22:09:20,53.6667,124.8,58.24,95,85,2.28
264,Plettenberg Bay,ZA,2022-06-13 22:09:20,-34.0527,23.3716,64.53,52,100,4.12
265,Tashtyp,RU,2022-06-13 22:09:21,52.7939,89.8983,60.89,84,97,3.42
266,Cidreira,BR,2022-06-13 22:09:21,-30.1811,-50.2056,57.94,86,97,3.98
267,Matara,LK,2022-06-13 22:09:21,5.9485,80.5353,78.62,87,91,10.8
268,Cooma,AU,2022-06-13 22:09:22,-36.2333,149.1333,31.77,100,100,9.22
269,Veraval,IN,2022-06-13 22:09:22,20.9,70.3667,82.47,80,51,9.35
270,Gistrup,DK,2022-06-13 22:09:23,56.9943,9.9909,53.49,83,75,16.11
271,Demba,CD,2022-06-13 22:09:23,-5.51,22.2667,73.81,53,88,1.74
272,Hanmer Springs,NZ,2022-06-13 22:09:23,-42.5167,172.8167,44.62,85,81,24.56
273,Clinton,US,2022-06-13 22:07:27,42.587,-82.9199,84.11,57,75,5.75
274,Margate,GB,2022-06-13 22:09:24,51.3813,1.3862,56.3,75,20,1.99
275,Hay River,CA,2022-06-13 22:05:49,60.8156,-115.7999,66.9,31,19,5.37
276,Papar,MY,2022-06-13 22:10:24,5.7333,115.9333,75.2,90,90,3.31
277,Vicksburg,US,2022-06-13 22:10:25,32.3526,-90.8779,93.43,56,0,12.66
278,Morgan City,US,2022-06-13 22:10:25,29.6994,-91.2068,93.02,70,0,10.36
279,Chokurdakh,RU,2022-06-13 22:10:26,70.6333,147.9167,67.95,32,0,17.43
280,Polunochnoye,RU,2022-06-13 22:10:26,60.8697,60.4153,50.36,81,66,2.42
281,Mata,PT,2022-06-13 22:10:26,40.683,-7.4592,77.59,64,9,4.27
282,Martinsburg,US,2022-06-13 22:10:27,39.4562,-77.9639,88.79,58,75,4.61
283,Amposta,ES,2022-06-13 22:09:52,40.7131,0.581,72.23,73,22,1.54
284,Bengkulu,ID,2022-06-13 22:10:27,-3.8004,102.2655,75.61,84,73,3.09
285,Thinadhoo,MV,2022-06-13 22:10:27,0.5333,72.9333,83.41,72,100,7.96
286,Sullana,PE,2022-06-13 22:10:28,-4.9039,-80.6853,80.04,47,77,15.9
287,Esperance,AU,2022-06-13 22:10:28,-33.8667,121.9,59.11,75,81,20.38
288,Sola,VU,2022-06-13 22:10:28,-13.8833,167.55,79.83,80,68,14.14
289,Kruisfontein,ZA,2022-06-13 22:10:29,-34.0033,24.7314,65.88,62,100,6.13
290,Riyadh,SA,2022-06-13 22:07:23,24.6877,46.7219,91.54,11,0,9.8
291,Faanui,PF,2022-06-13 22:10:29,-16.4833,-151.75,80.04,68,10,20.92
292,Kaitangata,NZ,2022-06-13 22:10:30,-46.2817,169.8464,41.04,89,93,18.01
293,Taoudenni,ML,2022-06-13 22:10:30,22.6783,-3.9836,101.28,9,33,9.4
294,Khrebtovaya,RU,2022-06-13 22:10:30,56.7032,104.2494,56.88,91,21,1.03
