City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Hami,CN,42.8,93.45,95.88,4,16,6.33,few clouds
191,Tolaga Bay,NZ,-38.3667,178.3,59.81,57,3,12.93,clear sky
192,Kemijarvi,FI,66.7131,27.4306,55.65,74,53,3.33,broken clouds
193,Taoudenni,ML,22.6783,-3.9836,93.24,10,0,6.98,clear sky
194,Catamarca,AR,-28.4696,-65.7852,59.58,40,9,10.04,clear sky
195,Bosaso,SO,11.2842,49.1816,91.26,44,100,10.22,overcast clouds
196,Kalianget,ID,-7.05,113.9333,82.58,78,98,12.86,overcast clouds
197,Karwar,IN,14.8,74.1333,81.39,77,64,2.08,broken clouds
198,Hit,IQ,33.6416,42.8251,82.71,31,0,7.92,clear sky
199,Midland,US,31.9974,-102.0779,92.07,22,0,19.57,clear sky
200,Palana,RU,59.1167,159.9667,42.51,78,49,8.39,scattered clouds
201,Vardo,NO,70.3705,31.1107,44.58,76,100,9.22,overcast clouds
202,Nikolskoye,RU,59.7035,30.7861,55.8,88,78,0.56,broken clouds
203,Sola,VU,-13.8833,167.55,80.11,79,45,16.44,scattered clouds
204,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.92,82,100,10.18,overcast clouds
205,Walvis Bay,NA,-22.9575,14.5053,58.08,81,42,4.59,scattered clouds
206,East London,ZA,-33.0153,27.9116,74.82,36,100,9.44,overcast clouds
207,Katobu,ID,-4.9408,122.5276,75.79,95,100,1.7,heavy intensity rain
208,Kyabe,TD,9.4515,18.9449,72.5,88,100,3.47,overcast clouds
209,Ivdel,RU,60.6911,60.4206,60.15,62,81,2.01,broken clouds
210,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,12.66,light intensity drizzle
211,Sandpoint,US,48.2766,-116.5533,46.42,93,100,0.0,moderate rain
212,Tuktoyaktuk,CA,69.4541,-133.0374,36.43,79,44,11.59,scattered clouds
213,Severo-Yeniseyskiy,RU,60.3725,93.0408,70.36,48,99,3.96,overcast clouds
214,Hofn,IS,64.2539,-15.2082,50.07,99,100,13.24,overcast clouds
215,Narsaq,GL,60.9167,-46.05,43.02,52,2,1.81,clear sky
216,Saint-Paul,RE,-21.0096,55.2707,71.69,73,85,4.0,overcast clouds
217,Douentza,ML,14.9951,-2.9517,92.08,36,19,5.88,few clouds
218,Marystown,CA,47.1666,-55.1483,47.86,100,89,1.01,overcast clouds
219,Kaili,ID,-3.4626,120.2147,77.76,70,42,4.14,scattered clouds
220,Luderitz,NA,-26.6481,15.1594,57.54,90,27,9.44,light rain
221,Chuy,UY,-33.6971,-53.4616,50.88,94,7,6.58,clear sky
222,Korla,CN,41.7597,86.1469,93.87,6,100,12.82,overcast clouds
223,Isiro,CD,2.7739,27.616,63.93,99,73,0.67,broken clouds
224,Sebezh,RU,56.2955,28.4654,52.72,98,100,9.86,moderate rain
225,Eenhana,NA,-17.4667,16.3333,50.76,58,0,2.17,clear sky
226,Monrovia,LR,6.3005,-10.7969,78.57,73,99,9.78,overcast clouds
227,Clyde River,CA,70.4692,-68.5914,33.12,80,43,1.79,scattered clouds
228,Avera,US,33.194,-82.5271,84.54,53,3,5.7,clear sky
229,Aklavik,CA,68.2191,-135.0107,56.86,47,100,11.23,overcast clouds
230,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,10.8,moderate rain
231,Lebu,CL,-37.6167,-73.65,50.02,94,100,12.48,light rain
232,Pemangkat,ID,1.1667,108.9667,82.9,70,100,4.38,overcast clouds
233,Ambilobe,MG,-13.2,49.05,67.03,86,5,3.2,clear sky
